"","verslagjaar","okvk","organisatie","wnMedew","wnFTE","wTijd","wPnil","wPnilKosten","wGemContr","wInstroom","wUitstroom","wDoorstroom","wnStag","wnVrijw","wNiv1","wNiv2","wNiv3","wNiv4","wNiv5","wNiv6","wBdnst","wOvPers","wLling","wFTEperCt","wVerzuimPerc","wVerzuimFreq","tTijd","tPnil","tPnilKosten","tGemContr","tInstroom","tUitstroom","tDoorstroom","tNiv1","tNiv2","tNiv3","tNiv4","tNiv5","tNiv6","tBdnst","tOvPers","tLling","tFTEperCt","tVerzuimPerc","tVerzuimFreq","nTijd","nPnil","nPnilKosten","nGemContr","nInstroom","nUitstroom","nDoorstroom","nNiv1","nNiv2","nNiv3","nNiv4","nNiv5","nNiv6","nBdnst","nOvPers","nLling","nFTEperCt","nVerzuimPerc","nVerzuimFreq"
"33",2019,"53415671","De Wende Overasselt",11,6.18,30,0,NA,0.56,30,30,0,2,2,9.39,70.55,9.39,9.39,0,1.29,0,0,0,1.02,3.33,0.27,3,0,NA,6,3,3,0,1,4,1,1,0,0,0,0,0,6,46,3,10,6,NA,11,10,10,10,6,6,6,6,6,6,6,6,6,6,1383,11
"34",2019,"11068704","De Wilgenhoeve B.v.",29,18,10.34,NA,NA,0.62,10.34,6.9,0,2,NA,13.89,11.11,63.89,11.11,0,0,0,0,0,1.06,3.59,0.38,3,NA,NA,18,3,2,0,3,2,12,2,0,0,0,0,0,18,1210,11,29,NA,NA,29,29,29,29,18,18,18,18,18,18,18,18,18,17,33696,29
"35",2019,"41093743","De Zorgboog",1064,751.04,21.05,2.47,2.53,0.71,34.02,20.86,NA,381,1235,0.17,6.96,45.6,14.39,4.53,2.01,1.27,13.42,4.27,1.11,7.14,0.87,224,19,980123,751,362,222,NA,1,52,342,108,34,15,10,101,32,751,17170,923,1064,751,38726585,1064,1064,1064,NA,751,751,751,751,751,751,751,751,751,675,240319,1064
"36",2019,"34126607","De Zorgspecialist B.v.",76,50.33,17.11,3.97,4.77,0.66,15.79,9.21,3.95,21,3,8.54,35.76,44.39,6.85,4.41,0,0,0,0,1,3.32,0.71,13,2,121305,50,12,7,3,4,18,22,3,2,0,0,0,0,50,435,54,76,50,2543879,76,76,76,76,50,50,50,50,50,50,50,50,50,50,13085,76
"37",2019,"14037109","Delphinium B.v.",67,40.46,18.07,0.59,1.73,0.6,55.64,10.53,4.51,10,10,19.67,26.5,34.18,4.28,5.83,0,0,0.15,0,1.13,7.9,0.6,15,0,27220,40,37,7,3,8,11,14,2,2,0,0,0,0,40,5983,40,83,40,1573022,67,67,67,67,40,40,40,40,40,40,40,40,40,36,75741,67
"38",2019,"55426980","Domus Magnus Exploitatie B.v.",472,286.59,35.02,18.37,24.63,0.61,51.27,41.95,4.87,70,73,15.06,7.22,40.91,20.12,5.81,0,1.7,0,9.18,1.35,4.83,0.86,173,53,3782397,287,242,198,23,43,21,117,58,17,0,5,0,26,287,4693,407,494,287,15357590,472,472,472,472,287,287,287,287,287,287,287,287,287,212,97232,472
"39",2019,"65384490","Eminent Wonen & Zorg",52,33.68,25,0,NA,0.65,32.56,9.3,4.65,19,1,17.07,0,39.79,7.69,0,5.43,0,3.77,22.09,1.38,3.55,0.46,12,0,NA,34,14,4,2,6,0,13,3,0,2,0,1,7,34,266,24,48,34,NA,52,43,43,43,34,34,34,34,34,34,34,34,34,24,7496,52
"40",2019,"68603371","Familiehoeve-Bb B.v.",13,8.6,7.69,20.93,6.44,0.66,7.69,38.46,7.69,0,0,20.58,15.58,44.65,0,0,0,0,5.12,14.07,0.86,0.82,0.92,1,2,32147,9,1,5,1,2,1,4,0,0,0,0,0,1,9,3,12,13,9,498913,13,13,13,13,9,9,9,9,9,9,9,9,9,10,365,13
"41",2019,"61468274","Feldkamp & Eussen T.h.o.d.n. Herbergier Sint Joost",27,17.15,33.33,0.99,1.71,0.64,28,28,0,8,3,0.68,47.46,35.72,1.85,0,0,0,0,12.69,1.18,47.95,0.7,9,0,9787,17,7,7,0,0,8,6,0,0,0,0,0,2,17,175,19,27,17,572068,27,25,25,25,17,17,17,17,17,17,17,17,17,15,365,27
"42",2019,"34099178","Fleurage Residence Bloemendaal B.v.",47,20.47,12.77,1.27,3.35,0.44,8.33,8.33,0,2,5,10.45,15,53.98,18.47,2.1,0,0,0,0,1.33,2.05,0.36,6,0,28368,20,4,4,0,2,3,11,4,0,0,0,0,0,20,135,17,47,20,847685,47,48,48,48,20,20,20,20,20,20,20,20,20,15,6600,47
"43",2019,"41141265","Frankelandgroep, Locatie Frankeland - Sint Liduinastichting",335,227.96,31.61,NA,NA,0.68,45.61,23.6,4.47,82,236,17.17,10.15,45.53,10.52,0.88,0,12.81,0,2.95,1.08,3.86,0.99,122,NA,NA,228,143,74,14,39,23,104,24,2,0,29,0,7,228,3169,330,386,NA,NA,335,314,314,314,228,228,228,228,228,228,228,228,228,211,82005,335
"44",2019,"41141239","Frankelandgroep, Locatie Protestant Christelijke Stichting Zorgverlening Voor Ouderen Vaartland",78,47.88,28.57,NA,NA,0.61,49.28,2.9,0,27,40,27.86,11.17,46.97,9.46,0,0,1.88,0,2.65,0.91,5.68,1,20,NA,NA,48,34,2,0,13,5,22,5,0,0,1,0,1,48,1023,78,70,NA,NA,78,69,69,69,48,48,48,48,48,48,48,48,48,52,18018,78
"45",2019,"41134968","Frankelandgroep, Locatie Protestants-Christelijke Stichting Zorgverlening Voor Ouderen Harg-Spaland",97,67.21,30.3,NA,NA,0.69,46.39,15.46,2.06,24,101,27.33,13.14,47.15,7.29,0,0,1.1,0,3.99,0.85,6.48,1.22,30,NA,NA,67,45,15,2,18,9,32,5,0,0,1,0,3,67,1452,118,99,NA,NA,97,97,97,97,67,67,67,67,67,67,67,67,67,79,22407,97
"46",2019,"41141369","Frankelandgroep, Locatie Stichting Sint Jacobs Gasthuis",31,22.27,16.67,NA,NA,0.72,36.67,10,0,7,12,21.1,16.57,51.55,10.73,0,0,0,0,0,0.64,1.91,0.55,5,NA,NA,22,11,3,0,5,4,11,2,0,0,0,0,0,22,137,17,30,NA,NA,31,30,30,30,22,22,22,22,22,22,22,22,22,35,7161,31
"47",2019,"41141363","Frankelandgroep, Locatie Stichting Zorgverlening Voor Ouderen Schiewaegh",134,84.33,30.37,NA,NA,0.63,41.77,13.65,0.8,41,81,31.79,7.86,44.35,11.36,0.37,0,0.25,0.46,3.56,0.81,4.17,1.04,41,NA,NA,84,52,17,1,27,7,37,10,0,0,0,0,3,84,1292,140,135,NA,NA,134,125,125,125,84,84,84,84,84,84,84,84,84,104,30954,134
"48",2019,"1104234","Friese Staten",114,68,15.89,10.29,23.26,0.6,17.54,28.07,NA,17,41,4.41,22.06,63.24,2.94,0,0,0,5.88,1.47,0.94,NA,0,17,7,698000,68,20,32,NA,3,15,43,2,0,0,0,4,1,68,NA,0,107,68,3000900,114,114,114,NA,68,68,68,68,68,68,68,68,68,73,NA,114
"49",2019,"57034303","Futura Zorg",181,80.1,31.49,5.06,2.25,0.44,34.71,21.76,3.53,8,18,0,6.57,50.39,11.69,9.58,0,0,11.7,7.18,0.87,8.5,0.4,57,4,85634,80,59,37,6,0,5,40,9,8,0,0,9,6,80,2852,73,181,80,3803394,181,170,170,170,80,80,80,80,80,80,80,80,80,92,33552,181
"50",2019,"8176844","G. De Graaf T.h.o.d.n. De Herbergier Heerde",27,18.06,30.77,NA,NA,0.67,21.43,21.43,3.57,7,0,27.19,8.53,38.43,11.07,0,0,0,0,14.78,1.12,2.34,0.89,8,NA,NA,18,6,6,1,5,2,7,2,0,0,0,0,3,18,154,24,26,NA,NA,27,28,28,28,18,18,18,18,18,18,18,18,18,16,6592,27
"51",2019,"41055407","Gasthuis Sint Jan De Deo",130,65,18.49,2.31,6.68,0.5,28.91,9.38,2.34,6,99,23.23,6,42.31,7.38,0,1.38,0,0.77,13.85,1.3,2.93,0.62,27,2,222488,65,37,12,3,15,4,28,5,0,1,0,1,9,65,495,80,146,65,3328288,130,128,128,128,65,65,65,65,65,65,65,65,65,50,16900,130
"52",2019,"61803103","Golden Years Eikenrode B.v.",49,32.5,13.95,5.85,39.06,0.66,9.09,9.09,9.09,5,5,19.08,37.54,23.08,7.08,0,0,0,0,0,0.86,13.53,1.35,6,2,156034,33,4,4,4,6,12,8,2,0,0,0,0,0,33,2419,66,43,33,399501,49,44,44,44,33,33,33,33,33,33,33,33,33,38,17885,49
"53",2019,"62277715","Gooiendaag",18,9.3,NA,NA,NA,0.52,11.11,11.11,0,2,7,0,33.33,66.67,0,0,0,0,0,0,1.03,12.59,0.11,NA,NA,NA,9,2,2,0,0,3,6,0,0,0,0,0,0,9,827,2,NA,NA,NA,18,18,18,18,9,9,9,9,9,9,9,9,9,9,6570,18
"54",2019,"51480816","Groenevelt & De Ru T.h.o.d.n. Herbergier Zoetermeer",26,18.4,26.67,2.12,4.8,0.71,24.14,17.24,6.9,18,11,0,4.84,42.28,6.63,0,0,0,31.74,14.51,1.15,3.33,1.31,8,0,34698,18,7,5,2,0,1,8,1,0,0,0,6,3,18,202,34,30,18,722453,26,29,29,29,18,18,18,18,18,18,18,18,18,16,6059,26
"55",2019,"27336321","Haagse Wijk- En Woonzorg",652,528.2,16.42,22.61,33.66,0.81,26.97,21.02,3.57,82,452,3.98,22.58,28.01,7.93,1.07,0,10.04,18.09,8.3,0.75,10.25,1.63,113,119,9259041,528,204,159,27,21,119,148,42,6,0,53,96,44,528,25031,1065,688,528,27507100,652,757,757,757,528,528,528,528,528,528,528,528,528,707,244094,652
"56",2019,"67303021","Hacketh & Lexmond T.h.o.d.n. Herbergier Hazerswoude-Rijndijk",22,13.94,45.45,NA,NA,0.63,32.65,40.82,20.41,3,3,0,18.36,39.02,0,9.54,0,0,28.26,4.81,0.82,10.68,0.68,10,NA,NA,14,8,10,5,0,3,5,0,1,0,0,4,1,14,39,15,22,NA,NA,22,25,25,25,14,14,14,14,14,14,14,14,14,17,365,22
"57",2019,"53612299","Hart Van Zwaag",28,18.82,35.71,NA,NA,0.67,84.44,31.11,8.89,7,14,25.08,15.41,35.6,23.91,0,0,0,0,0,1.35,100,0.21,10,NA,NA,19,19,7,2,5,3,7,5,0,0,0,0,0,19,153,6,28,NA,NA,28,23,23,23,19,19,19,19,19,19,19,19,19,14,153,28
"58",2019,"66809711","Hazo Zorg B.v.",35,22.68,37.14,2.47,0.68,0.65,27.27,24.24,9.09,6,3,0,18.69,43.3,8.82,0,0,0,29.19,0,0.91,3.39,1.14,13,1,6470,23,9,8,3,0,4,10,2,0,0,0,7,0,23,164,40,35,23,949109,35,33,33,33,23,23,23,23,23,23,23,23,23,25,4840,35
"59",2019,"70819378","Herbergier De Maashorst",24,14.1,100,0,NA,0.59,NA,0,0,0,0,0,54.61,37.59,7.8,0,0,0,0,0,5.21,0.82,0.08,24,0,NA,14,NA,0,0,0,8,5,1,0,0,0,0,0,14,3,2,24,14,NA,24,NA,12,12,14,14,14,14,14,14,14,14,14,3,365,24
"60",2019,"64642488","Herbergier Delft",31,18.96,19.35,NA,NA,0.61,6.25,15.63,3.13,9,5,19.62,25.63,23.73,7.65,0,0,0,2.64,20.73,0.95,1.37,0.74,6,NA,NA,19,2,5,1,4,5,5,1,0,0,0,1,4,19,485,23,31,NA,NA,31,32,32,32,19,19,19,19,19,19,19,19,19,20,35493,31
"61",2019,"34319469","Herbergier Dussen",33,15,33.33,NA,NA,0.45,10,10,3.33,4,0,9.93,13,45.27,0,0,0,0,22.13,9.67,0.88,3.89,0.12,10,NA,NA,15,3,3,1,1,2,7,0,0,0,0,3,1,15,532,4,30,NA,NA,33,30,30,30,15,15,15,15,15,15,15,15,15,17,13673,33
"62",2019,"60652004","Herbergier Emmen",26,16.7,24,0,NA,0.64,15.69,11.76,7.84,18,4,0,20.96,58.08,12.57,0,0,0,7.78,0.6,1.07,5.76,1.04,6,0,NA,17,4,3,2,0,4,10,2,0,0,0,1,0,17,225,27,25,17,NA,26,26,26,26,17,17,17,17,17,17,17,17,17,16,3907,26
"63",2019,"59696737","Herbergier Ermelo",35,17,30.56,0,0,0.49,31.25,31.25,3.13,6,10,7.65,37.94,42.06,5.88,0,0,0,0,6.47,1.02,4.47,0.77,11,0,0,17,10,10,1,1,6,7,1,0,0,0,0,1,17,1315,27,36,17,808944,35,32,32,32,17,17,17,17,17,17,17,17,17,17,29390,35
"64",2019,"73776378","Herbergier Grathem",32,19.2,33.33,NA,0,0.6,0,5.26,0,2,2,32.81,23.96,17.71,7.29,3.13,0,0,0,4.17,1.28,2.28,0.09,8,NA,0,19,0,1,0,6,5,3,1,1,0,0,0,1,19,117,3,24,NA,444987,32,19,19,19,19,19,19,19,19,19,19,19,19,15,5136,32
"65",2019,"64109186","Herbergier Han & Katja",28,193.82,10.71,0,0,6.92,100,100,33.33,2,1,0,19.69,31.47,13.41,0.28,0,0,25.8,9.29,0.98,7.87,0.61,3,0,0,194,3,3,1,0,38,61,26,1,0,0,50,18,194,2525,17,28,194,626532,28,3,3,3,194,194,194,194,194,194,194,194,194,198,32095,28
"66",2019,"61020621","Herbergier Hellevoetsluis",33,14.58,42.86,NA,NA,0.44,13.16,10.53,2.63,10,5,7.06,9.67,60.08,9.47,0,0,0,0,13.72,0.96,3.17,0.67,15,NA,NA,15,5,4,1,1,1,9,1,0,0,0,0,2,15,173,22,35,NA,NA,33,38,38,38,15,15,15,15,15,15,15,15,15,15,5452,33
"67",2019,"58529055","Herbergier Heythuysen",25,15.48,16.67,0,0,0.62,28.57,36.73,4.08,3,3,13.7,28.81,27.26,18.09,0,0,0,0,12.14,0.97,7.57,0.8,4,0,0,15,7,9,1,2,4,4,3,0,0,0,0,2,15,264,20,24,15,590362,25,25,25,25,15,15,15,15,15,15,15,15,15,16,3489,25
"68",2019,"27325145","Herbergier Oostvoorne",26,17.2,11.11,NA,NA,0.66,7.69,7.69,0,2,2,27.09,15.47,52.97,0,0,0,0,0,4.48,1.02,2.88,0.5,3,NA,NA,17,2,2,0,5,3,9,0,0,0,0,0,1,17,94,13,27,NA,NA,26,26,26,26,17,17,17,17,17,17,17,17,17,17,3261,26
"69",2019,"76305813","Herbergier Oudenbosch",37,17.7,54.05,0,0,0.48,36.62,28.17,0,13,3,0,11.3,26.55,13.56,0,0,0,43.5,5.08,0.99,NA,NA,20,0,0,18,13,10,0,0,2,5,2,0,0,0,8,1,18,NA,NA,37,18,6e+05,37,36,36,36,18,18,18,18,18,18,18,18,18,18,NA,NA
"70",2019,"56980639","Herbergier Piershil",26,16.8,46.15,0,NA,0.65,18.87,18.87,7.55,1,5,0,7.98,38.69,3.27,3.27,0,0,37.5,3.27,0.99,9.7,1.15,12,0,NA,17,5,5,2,0,1,7,1,1,0,0,6,1,17,386,30,26,17,NA,26,27,27,27,17,17,17,17,17,17,17,17,17,17,3978,26
"71",2019,"72862610","Herbergier Velp",26,16.75,42.31,24.9,5.53,0.64,NA,NA,NA,6,5,0,10.63,36.18,11.28,9.97,0,0,23.34,8.6,NA,4.76,0.12,11,4,21706,17,NA,NA,NA,0,2,6,2,2,0,0,4,1,NA,1,3,26,17,392385,26,NA,NA,NA,17,17,17,17,17,17,17,17,17,NA,21,26
