kvk,organisatie,pc,jaar,nMedew,nFTE,noemer,nClient,pTijd,tTijd,nTijd,pPnil,tPnil,nPnil,pkPnil,kPnil,kVast,gemContr,tGemContr,nGemContr,instroom,tInstroom,nInstroom,uitstroom,tUitstroom,nUitstroom,doorstroom,tDoorstroom,nDoorstroom,nStag,nVrijw,niv1,tNiv1,niv2,tNiv2,niv3,tNiv3,niv4,tNiv4,niv5,tNiv5,niv6,tNiv6,beh,tBehandel,ovPers,tOvPers,ll,tLl,FTEpCt,tFTEpCt,pVerzuim,tVerzuim,nVerzuim,verzuimFreq,tVerzuimFreq,nVerzuimFreq
1098504,Stichting Zuidoostzorg,9200AP,2020,1967,1142,1142,759,3.26,73,2236,1.26,14,1142,2.58,1618878,62783951,0.58,1142,1967,12.25,239,1951,10.61,207,1951,7.28,142,1951,145,894,8.7,99,13.6,155,35.94,410,6.22,71,0,0,1.64,19,4.58,52,0,0,2.87,33,1.51,1142,5.86,26200,446936,0.96,1879,1967
1098504,Stichting Zuidoostzorg,9200AP,2021,1965,1160,1160,763,2.91,66,2268,1.07,12,1160,2.09,1417172,67753181,0.59,1160,1965,11.29,222,1966,12.72,250,1966,7.99,157,1966,151,890,8.59,100,13.28,154,34.91,405,6.15,71,0,0,1.5,17,4.89,57,0,0,4.78,56,1.52,1160,6.72,30032,446626,0.98,1927,1965
11042268,Stichting Protestants-Christelijk Zorgcentrum 'T Slot,5311CM,2019,135,71.8,72,75,42.18,62,147,3.94,3,72,14.14,430140,3042407,0.53,72,135,28.91,37,128,4.69,6,128,2.34,3,128,5,78,24.51,18,15.88,11,44.99,32,4.04,3,0,0,0.14,0,0,0,0,0,10.45,8,0.96,72,7.85,1877,23911,2.07,280,135
11042268,Stichting Protestants-Christelijk Zorgcentrum 'T Slot,5311CM,2020,156,78.19,78,76,42.35,72,170,5.35,4,78,14.63,495764,3389179,0.5,78,156,25.24,39,155,5.83,9,155,3.88,6,155,10,80,24.03,19,16.01,13,43.94,34,4.86,4,0,0,0.12,0,0,0,0,0,11.04,9,1.03,78,8.26,2185,26468,1.66,259,156
11042268,Stichting Protestants-Christelijk Zorgcentrum 'T Slot,5311CM,2021,162,77.2,77,74,25.61,42,164,5.18,4,77,15.37,524761,3414016,0.48,77,162,9.88,16,162,17.28,28,162,3.7,6,162,8,80,20.6,16,19.82,15,44.17,34,4.4,3,0,0,0,0,0,0,0,0,11.01,9,1.04,77,7.56,2024,26788,0.85,138,162
1104234,Friese Staten,8441BH,2019,114,68,68,73,15.89,17,107,10.29,7,68,23.26,698000,3000900,0.6,68,114,17.54,20,114,28.07,32,114,NA,NA,NA,17,41,4.41,3,22.06,15,63.24,43,2.94,2,0,0,0,0,0,0,5.88,4,1.47,1,0.94,68,NA,NA,NA,0,0,114
11043745,Zorgcentra De Betuwe,4100AE,2019,734,392,392,414,10.47,91,869,10.46,41,392,20.65,4041909,19570862,0.53,392,734,27,229,848,17.45,148,848,5.9,50,848,162,650,9.44,37,17.47,69,42.18,165,7.57,30,2.37,9,1.26,5,7.98,31,0.26,1,11.48,45,0.95,392,5.35,9600,179580,1.1,807,734
11043745,Zorgcentra De Betuwe,4100AE,2020,830,456,456,408,10.9,115,1055,13.34,61,456,17.53,4770226,27212728,0.55,456,830,32.31,315,975,13.74,134,975,2.46,24,975,71,650,12.38,56,15.43,70,41.16,188,8.27,38,1.57,7,1.72,8,8.3,38,0.2,1,10.96,50,1.12,456,6.33,13411,211864,1.18,980,830
11043745,Zorgcentra De Betuwe,4100AE,2021,973,601,601,403,12.46,145,1164,6.16,37,601,13.46,4638013,34455151,0.62,601,973,18.39,165,897,21.52,193,897,8.36,75,897,267,650,13.64,82,12.31,74,27.79,167,6.99,42,1.66,10,1.33,8,5.66,34,0.33,2,15.64,94,1.49,601,6.99,15394,220278,1.41,1375,973
11044044,Stichting Rivas Zorggroep,4200AB,2019,1776,975.52,976,1000,32.64,643,1970,NA,NA,NA,5.12,2876687,56221389,0.55,976,1776,40.15,713,1776,27.48,488,1776,NA,NA,NA,77,1276,0,0,14.99,146,38.08,371,11.18,109,0,0,0,0,0,0,10.08,98,10.39,101,0.98,976,6.37,240,3770,1.1,1960,1776
11044044,Stichting Rivas Zorggroep,4200AB,2020,1940,1036.39,1036,1011,31.29,623,1991,NA,NA,NA,2.68,1565268,58385857,0.53,1036,1940,30.11,584,1940,25.83,501,1940,NA,NA,NA,81,1268,0,0,15.54,161,33.54,348,10.85,112,0,0,0,0,0,0,13.28,138,9.16,95,1.03,1036,7.69,290,3770,0.75,1450,1940
11044044,Stichting Rivas Zorggroep,4200AB,2021,1990,994,994,948,22.59,453,2005,NA,NA,NA,6.25,3750994,59977009,0.5,994,1990,21.71,432,1990,22.11,440,1990,NA,NA,NA,257,1425,0,0,15.68,156,35.7,355,12.06,120,0,0,1.29,13,0.6,6,15.25,152,8.95,89,1.05,994,5.49,39855,726350,0.64,1272,1990
11044284,Stichting Zorgcentra Rivierenland,4000AB,2019,697,378.73,379,402,32.97,245,743,8.49,32,379,6.36,905670,14249409,0.54,379,697,30.87,213,690,16.23,112,690,4.35,30,690,44,350,12.16,46,20.55,78,40.39,153,5.62,21,2.15,8,0,0,11.02,42,0.62,2,7.48,28,0.94,379,8.25,11401,138237,0.92,644,697
11044284,Stichting Zorgcentra Rivierenland,4000AB,2020,776,399.82,400,410,36.36,292,803,11.59,46,400,11.49,2267511,19735565,0.52,400,776,26.13,202,773,17.98,139,773,4.27,33,773,48,350,16.5,66,21.5,86,38.76,155,4.71,19,2.42,10,0,0,11.6,46,0.58,2,3.86,15,0.98,400,11,16054,145943,0.85,660,776
11044284,Stichting Zorgcentra Rivierenland,4000AB,2021,786,421.76,422,383,32.92,263,799,7.31,31,422,11.92,2739565,22976269,0.54,422,786,20.85,167,801,18.1,145,801,4.62,37,801,57,350,16.82,71,20.98,88,36.48,154,6,25,2.66,11,0,0,12.22,52,0.54,2,4.29,18,1.1,422,12.72,19584,153941,0.82,646,786
11056895,Stichting Zorggroep Maas & Waal,6658ZH,2019,733,403.94,404,419,14.87,109,733,5.05,20,404,8.41,1610630,19143388,0.55,404,733,39.95,314,786,25.95,204,786,3.05,24,786,87,518,17,69,18.38,74,36.01,145,1.89,8,3.12,13,0,0,10.08,41,7.61,31,5.92,24,0.96,404,6.45,16158,250511,0.82,604,733
11056895,Stichting Zorggroep Maas & Waal,6658ZH,2020,1071,435.25,435,412,11.95,128,1071,5.53,24,435,8.83,1848627,20927801,0.41,435,1071,25.1,240,956,21.44,205,956,2.2,21,956,66,570,17.68,77,16.52,72,34.36,150,1.95,9,2.96,13,0,0,9.9,43,8.53,37,8.1,35,1.06,435,8.43,23855,282977,0.73,781,1071
11056895,Stichting Zorggroep Maas & Waal,6658ZH,2021,1057,447.77,448,429,26.58,281,1057,8.04,36,448,12.47,2767455,22199671,0.42,448,1057,22.54,187,830,28.81,239,830,6.63,55,830,132,330,18.34,82,17.22,77,33.37,149,1.62,7,2.92,13,0,0,10.89,49,8.45,38,7.19,32,1.04,448,8.91,17310,194287,0.68,719,1057
11068704,De Wilgenhoeve B.v.,4126RK,2019,29,18,18,17,10.34,3,29,NA,NA,NA,NA,NA,NA,0.62,18,29,10.34,3,29,6.9,2,29,0,0,29,2,NA,13.89,3,11.11,2,63.89,12,11.11,2,0,0,0,0,0,0,0,0,0,0,1.06,18,3.59,1210,33696,0.38,11,29
1110074,Stichting Kwadrantgroep,9202PE,2019,2194,1117.02,NA,1104,11.58,254,2194,NA,NA,NA,NA,NA,NA,0.51,1117,2194,20.25,433,2139,33.53,717,2139,NA,NA,NA,609,1440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.01,1117,6.31,8204,130029,1.8,3959,2194
1110074,Stichting Kwadrantgroep,9202PE,2020,2204,1043.94,NA,1131,0.26,6,2303,NA,NA,NA,NA,NA,NA,0.47,1044,2204,10.25,215,2098,12.58,264,2098,NA,NA,NA,230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.92,1044,6.26,15000,239500,0.07,155,2204
1110074,Stichting Kwadrantgroep,9202PE,2021,2330,1081.42,NA,1151,14.64,368,2513,NA,NA,NA,NA,NA,NA,0.46,1081,2330,11.47,269,2346,12.02,282,2346,NA,NA,NA,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.94,1081,7.76,115115,1482550,0.07,174,2330
1115958,V.o.f. Westersypen,8517HM,2019,18,9.5,10,NA,100,18,18,0,0,10,NA,NA,NA,0.53,10,18,100,18,18,16.67,3,18,0,0,18,5,5,0,0,21.05,2,68.42,7,10.53,1,0,0,0,0,0,0,0,0,0,0,NA,NA,2.47,9,365,0.44,8,18
1115958,V.o.f. Westersypen,8517HM,2021,22,2021.1,2021,1,27.78,5,18,NA,NA,NA,NA,NA,NA,91.87,2021,22,0,0,11,9.52,1,11,0,0,11,45,5,0.15,3,0.31,6,0.52,11,0,0,0,0,0,0,0,0,0,0,0.2,4,NA,2021,3.84,14,365,0.32,7,22
1131725,Het Naoberhuis,9573PH,2019,8,6.2,6,7,20,2,10,NA,NA,NA,NA,NA,NA,0.78,6,8,22.22,2,9,11.11,1,9,NA,NA,NA,2,1,0,0,22.58,1,50,3,14.52,1,0,0,0,0,0,0,0,0,12.9,1,0.94,6,0,0,365,0,0,8
1137892,Noorderbreedte B.v.,8900CG,2019,1630,1017.93,1018,1058,11.97,180,1504,1.43,15,1018,3.48,1804386,51794579,0.62,1018,1630,20.61,336,1630,16.99,277,1630,NA,NA,NA,707,854,9.57,97,12.29,125,47.33,482,17.15,175,1.22,12,0,0,6.21,63,0,0,6.23,63,0.96,1018,6.35,15125,238195,0.93,1516,1630
1137892,Noorderbreedte B.v.,8900CG,2020,2091,1261.95,1262,1141,5.68,95,1674,1.52,19,1262,3.19,2050402,64187811,0.6,1262,2091,21.99,460,2092,17.45,365,2092,NA,NA,NA,676,950,14.87,188,12.7,160,43.56,550,16.5,208,1.5,19,0,0,5.4,68,0,0,5.47,69,1.11,1262,7.81,23063,295297,0.85,1778,2091
1137892,Noorderbreedte B.v.,8900CG,2021,2281,1348.31,1348,1126,3.81,69,1809,1.52,21,1348,3.04,2147106,70548309,0.59,1348,2281,16.27,371,2281,18.29,417,2281,NA,NA,NA,637,1619,15.14,204,14.11,190,42.91,579,17.43,235,1.53,21,0,0,0,0,6.04,81,2.84,38,1.2,1348,10.89,34358,315504,0.98,2235,2281
1143871,Stichting Zonnehuisgroep Noord,9800AB,2019,1081,649.05,649,593,17.11,185,1081,6.86,45,649,9.19,4778300,52000000,0.6,649,1081,23.66,256,1082,21.72,235,1082,20.43,221,1082,134,682,1.39,9,10.94,71,49.61,322,10.32,67,1.54,10,0,0,3.54,23,0,0,0,0,1.09,649,8.39,19876,236905,0.76,821,1081
1143871,Stichting Zonnehuisgroep Noord,9800AB,2020,1043,694.85,695,602,26.85,280,1043,2.33,16,695,2.94,1053270,35811000,0.67,695,1043,23.63,251,1062,20.9,222,1062,16.95,180,1062,124,779,9.07,63,12.71,88,49.78,346,16.13,112,8,56,0,0,4.3,30,0,0,0,0,1.15,695,9.51,18156,190922,0.76,793,1043
1143871,Stichting Zonnehuisgroep Noord,9800AB,2021,1330,772.5,773,615,28.35,377,1330,1.88,15,773,2.9,944641,32573287,0.58,773,1330,45.62,550,1206,38.08,459,1206,17.01,205,1206,182,716,3.96,31,10.36,80,42.46,328,13.15,102,1.7,13,0,0,4.44,34,0,0,1.61,12,1.26,773,8.78,22572,257088,0.96,1279,1330
1158834,Stichting De Bijzondere Onderneming,9221RA,2019,6,4.8,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,5,6,33.33,2,6,33.33,2,6,0,0,6,1,0,0,0,0,0,0,0,62.5,3,20.83,1,16.67,1,0,0,0,0,0,0,0.96,5,4.46,240,5378,0.67,4,6
1169730,Visser & Gijsen T.h.o.d.n. Herbergier Bartlehiem,9091BH,2019,28,17.38,17,18,14.29,4,28,0,0,17,NA,NA,NA,0.62,17,28,14.55,4,28,14.55,4,28,3.64,1,28,5,5,0,0,22.21,4,41.48,7,7.31,1,5.41,1,0,0,0,0,16.46,3,7.13,1,0.99,17,13.98,379,2711,0.96,27,28
1169730,Visser & Gijsen T.h.o.d.n. Herbergier Bartlehiem,9091BH,2020,27,17.2,17,18,11.54,3,26,NA,NA,NA,NA,NA,NA,0.64,17,27,11.32,3,27,11.32,3,27,7.55,2,27,6,3,0,0,18.9,3,44.24,8,11.74,2,5.23,1,0,0,0,0,15.81,3,3.95,1,0.97,17,10.59,284,2683,0.67,18,27
1178769,Stichting Meriant,8440AH,2019,709,513,513,464,25.41,185,728,3.12,16,513,6.42,1580000,24615000,0.72,513,709,28.72,193,672,11.16,75,672,NA,NA,NA,275,718,13.84,71,0,0,46,236,27.49,141,0,0,0,0,7.6,39,3.7,19,1.36,7,1.11,513,NA,NA,NA,0,0,709
1178769,Stichting Meriant,8440AH,2020,821,595,595,553,22.76,188,826,5.21,31,595,10.53,2980553,28306227,0.72,595,821,NA,NA,NA,NA,NA,NA,NA,NA,NA,323,678,25.55,152,2.52,15,41.34,246,18.82,112,0,0,0,0,7.23,43,3.53,21,1.01,6,1.08,595,NA,NA,NA,0,0,821
1178769,Stichting Meriant,8440AH,2021,823,610,610,570,22.24,183,823,3.44,21,610,6.87,2138,31125,0.74,610,823,28.94,245,847,28.94,245,847,0,0,847,280,590,27.05,165,0.86,5,41.54,253,18.55,113,0,0,0,0,6.39,39,3.55,22,1.44,9,1.07,610,NA,NA,NA,0,0,823
12065731,Stichting Zorggroep Noord- En Midden-Limburg,5900AR,2019,3330,2044,2044,1873,16.77,577,3441,5.63,115,2044,7.22,9806464,135753047,0.61,2044,3330,20.04,668,3334,13.95,465,3334,4.32,144,3334,392,2525,0.78,16,9.22,188,48.87,999,9.64,197,0.95,19,0,0,4.99,102,3.14,64,5.44,111,1.09,2044,8.13,38474,473156,0.89,2963,3330
12065731,Stichting Zorggroep Noord- En Midden-Limburg,5900AR,2020,3712,2294,2294,1767,19.95,758,3799,9.07,208,2294,11.34,17099654,150854232,0.62,2294,3712,21.82,802,3676,14.17,521,3676,6.04,222,3676,387,2450,2.92,67,10.89,250,43.67,1002,9.49,218,1.06,24,0,0,4.63,106,3.19,73,5.75,132,1.3,2294,8.41,44801,532524,0.94,3507,3712
12065731,Stichting Zorggroep Noord- En Midden-Limburg,5900AR,2021,3636,2259,2259,1758,18.8,685,3644,9.72,220,2259,11.86,19257458,162387987,0.62,2259,3636,16.54,600,3627,14.89,540,3627,7.31,265,3627,435,2293,2.93,66,12.55,283,40.73,920,9.38,212,0.94,21,0,0,4.95,112,3.28,74,5.71,129,1.28,2259,7.89,41280,522947,0.95,3444,3636
13041155,Stichting Proteion,6085NH,2019,1281,774.16,774,809,23.34,299,1281,2.61,20,774,5.17,2006592,38818000,0.6,774,1281,36.27,436,1202,18.8,226,1202,10.9,131,1202,188,613,16.06,124,10.43,81,39.62,307,17.27,134,0.98,8,0.26,2,4.75,37,1.11,9,9.51,74,0.96,774,6.13,30192,492528,0.77,986,1281
13041155,Stichting Proteion,6085NH,2020,1398,852.76,853,851,27.33,452,1654,3.22,27,853,6.35,2776367,43723326,0.61,853,1398,20.97,339,1617,16.39,265,1617,9.53,154,1617,193,619,17.32,148,10.16,87,36.34,310,17.28,147,1.24,11,0.28,2,5.1,44,1.84,16,10.44,89,1,853,8.23,48030,583670,1.35,1887,1398
13041155,Stichting Proteion,6085NH,2021,1492,945.69,946,935,28,450,1607,3.56,34,946,6.01,2960640,49270720,0.63,946,1492,34.66,517,1492,21.25,317,1492,10.19,152,1492,213,610,18.56,176,10.55,100,34.62,327,17.16,162,0.91,9,0.25,2,5,47,1.85,18,11.06,105,1.01,946,9.44,77705,823412,0.67,995,1492
14037109,Delphinium B.v.,6370KA,2019,67,40.46,40,36,18.07,15,83,0.59,0,40,1.73,27220,1573022,0.6,40,67,55.64,37,67,10.53,7,67,4.51,3,67,10,10,19.67,8,26.5,11,34.18,14,4.28,2,5.83,2,0,0,0,0,0.15,0,0,0,1.13,40,7.9,5983,75741,0.6,40,67
14037109,Delphinium B.v.,6370KA,2020,84,56.33,56,48,27.38,23,84,3.48,2,56,9.57,157773,1648012,0.67,56,84,30.77,26,85,23.67,20,85,9.47,8,85,19,17,25.44,14,24.41,14,31.12,18,5.38,3,4.19,2,0,0,0,0,0.57,0,1.42,1,1.17,56,7.97,1076,13507,1.06,89,84
14037109,Delphinium B.v.,6370KA,2021,100,66.7,67,52,38.26,44,115,5.31,4,67,8.23,263179,3196509,0.67,67,100,50.25,50,100,35.18,35,100,3.02,3,100,27,32,27.18,18,14.18,9,24.06,16,4.75,3,1.33,1,0,0,0,0,12.22,8,16.22,11,1.27,67,8.36,1966,23530,0.71,71,100
14066455,Sevagram Maastricht,6201CA,2019,267,178.45,178,257,17.13,43,251,16.3,29,178,28.65,2703678,9436593,0.67,178,267,24.63,67,272,13.97,38,272,7.35,20,272,6,272,16.93,30,25.48,45,44.8,80,9.89,18,0,0,2.16,4,0,0,0.74,1,0,0,0.7,178,11.08,7556,68188,1.12,298,267
14066455,Sevagram Maastricht,6201CA,2020,246,156.72,157,174,15,36,240,25.33,40,157,44.67,3466777,7761319,0.64,157,246,19.55,48,246,27.29,67,246,11,27,246,6,238,15.05,24,19.9,31,38.91,61,8.47,13,0,0,1.74,3,0,0,2.42,4,13.51,21,0.9,157,12.36,16930,137025,1.93,475,246
14082815,Sevagram,6401CX,2019,1383,855.03,855,1166,27.69,383,1383,1.91,16,855,3.52,1528199,43406226,0.62,855,1383,25.64,349,1361,10.14,138,1361,2.87,39,1361,333,818,10.97,94,16.1,138,43.29,370,7.05,60,0,0,4.01,34,7.14,61,7.05,60,4.39,38,0.73,855,8.56,25800,301473,0.95,1307,1383
14082815,Sevagram,6401CX,2020,1364,943.69,944,1173,21.54,291,1351,1.52,14,944,2.62,1281337,48953537,0.69,944,1364,14.82,199,1343,16.91,227,1343,5.74,77,1343,345,838,13.33,126,16.25,153,39.3,371,6.6,62,0,0,4.15,39,8.31,78,6.47,61,5.6,53,0.8,944,9.27,63600,685776,1.3,1780,1364
14086355,Zorg Groep Beek,6191HD,2019,37,25.57,26,24,18.92,7,37,0.43,0,26,1.24,10592,855795,0.69,26,37,18.46,6,33,18.46,6,33,0,0,33,15,13,8.88,2,12.51,3,66.09,17,10.17,3,0,0,0.78,0,0,0,1.56,0,0,0,1.06,26,6.24,421,6745,0.84,31,37
14086355,Zorg Groep Beek,6191HD,2020,33,25.24,25,33,39.39,13,33,1.58,0,25,3.53,41263,1169668,0.76,25,33,39.39,13,33,36.36,12,33,0,0,33,4,13,10.46,3,12,3,65.06,16,9.43,2,0,0,0.79,0,0,0,2.26,1,0,0,0.78,25,8.54,633,7413,1.39,46,33
14086355,Zorg Groep Beek,6191HD,2021,41,26.2,26,29,84.62,33,39,0.76,0,26,8.95,27957,312254,0.64,26,41,19.44,7,36,5.56,2,36,2.78,1,36,6,10,12.21,3,8.44,2,70.57,18,6.83,2,0,0,0.76,0,0,0,1.03,0,0,0,0.89,26,5.76,406,7046,0.59,24,41
14089898,Stichting Cicero Zorggroep,6440AC,2019,1425,890,890,975,35.54,499,1404,3.18,28,890,3.32,1337754,40310696,0.62,890,1425,28.09,430,1531,20.44,313,1531,3.98,61,1531,222,736,5.44,48,19.04,170,41.17,366,9.54,85,0,0,0.65,6,8,71,8.15,73,8.01,71,0.91,890,6.85,29378,429123,1.18,1677,1425
14089898,Stichting Cicero Zorggroep,6440AC,2020,1594,982.21,982,915,20.95,299,1427,3.77,37,982,5.11,2571737,50300999,0.62,982,1594,19.65,297,1512,15.68,237,1512,9.79,148,1512,141,711,6.54,64,19.09,187,35.05,344,8.37,82,0.1,1,0.84,8,5.61,55,8.35,82,12.37,122,1.07,982,8.94,29869,334073,1.04,1659,1594
14089898,Stichting Cicero Zorggroep,6440AC,2021,1793,1035.96,1036,916,19.96,297,1488,4.11,43,1036,6.29,3155698,50183471,0.58,1036,1793,17.9,268,1497,20.24,303,1497,9.42,141,1497,202,604,7.4,77,22.47,233,32.19,333,8.6,89,0,0,4.03,42,4.39,45,7.84,81,10.84,112,1.13,1036,8.41,31635,376029,1,1792,1793
14125865,Zuyderland Zorgcentra B.v.,6131KG,2019,2017,1422.74,1423,1238,28.05,611,2178,4.63,66,1423,4.32,3112391,72091894,0.71,1423,2017,28.05,565,2014,11.97,241,2014,1.34,27,2014,128,825,11.11,158,7.21,103,42.92,611,5.14,73,1.53,22,0.03,0,3.8,54,2.81,40,10.78,153,1.15,1423,6.67,49318,739452,0.91,1831,2017
14125865,Zuyderland Zorgcentra B.v.,6131KG,2020,2176,1556.94,1557,1289,17.15,370,2157,4.41,69,1557,4.46,3779700,84781950,0.72,1557,2176,12.73,277,2176,15.4,335,2176,3.91,85,2176,112,772,13.48,210,7.07,110,39.6,616,5.8,90,1.44,22,0.12,2,4.06,63,2.78,43,12.1,188,1.21,1557,7.96,61145,768136,1.07,2326,2176
14125865,Zuyderland Zorgcentra B.v.,6131KG,2021,2115,1518.77,1519,1264,15.76,330,2094,5.25,80,1519,5.95,4946944,83113408,0.72,1519,2115,11.96,253,2116,13.99,296,2116,3.64,77,2116,226,722,12.01,182,7.34,111,40.41,614,6.78,103,1.11,17,0.18,3,0.28,4,2.82,43,11.25,171,1.2,1519,8.22,69905,850186,1.08,2275,2115
17124397,Nieuwe Eindhovense Opvang Stichting,5600AX,2019,18,15.8,16,18,33.33,6,18,19.75,3,16,36.68,307000,837000,0.88,16,18,23.53,4,17,29.41,5,17,0,0,17,5,3,0,0,10.06,2,48.8,8,19.3,3,11.27,2,0,0,0,0,2.09,0,8.42,1,0.9,16,2.43,166,6840,1.28,23,18
17124397,Nieuwe Eindhovense Opvang Stichting,5600AX,2020,20,8.93,9,17,25,5,20,15.68,1,9,28.38,151000,532000,0.45,9,20,5.13,1,20,5.13,1,20,0,0,20,5,3,0,0,10.97,1,50.17,4,21.5,2,12.32,1,0,0,0,0,0,0,5.04,0,0.54,9,3.84,212,5526,1.15,23,20
17124397,Nieuwe Eindhovense Opvang Stichting,5600AX,2021,21,14.98,15,28,26.32,5,19,22.03,3,15,36.21,336325,928894,0.71,15,21,10.53,2,19,10.53,2,19,0,0,19,8,5,0,0,13.15,2,49.07,7,20.76,3,12.08,2,0,0,0,0,0,0,4.94,1,0.54,15,NA,NA,NA,0.38,8,21
17126402,Stichting Savant- Organisatie Voor Zorg,5700AE,2019,807,429.57,430,503,13,110,846,7.63,33,430,17.3,3443445,19905748,0.53,430,807,25.81,208,806,20.72,167,806,11.17,90,806,174,792,7.89,34,10.76,46,57.58,247,7.91,34,2.02,9,0,0,0,0,0.84,4,13,56,0.85,430,NA,NA,NA,0.82,661,807
17126402,Stichting Savant- Organisatie Voor Zorg,5700AE,2020,866,434.51,435,487,27.67,259,936,7.56,33,435,14.54,3202161,22027939,0.5,435,866,7.87,68,864,8.69,75,864,7.64,66,864,119,705,8.17,36,13.32,58,54.74,238,7.16,31,2.47,11,0,0,0,0,0.45,2,13.7,60,0.89,435,NA,NA,NA,0.83,719,866
17126402,Stichting Savant- Organisatie Voor Zorg,5700AE,2021,901,429.25,429,489,30.11,302,1003,8.62,37,429,15.4,3769732,24485212,0.48,429,901,13.83,121,875,5.83,51,875,12.11,106,875,78,650,9.37,40,14.71,63,51.76,222,8.68,37,2.3,10,0,0,0,0,0.48,2,12.7,55,0.88,429,NA,NA,NA,0.86,775,901
